system:index,NO2_area_mean_mol_per_m2,NO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
0000000000000000000a_2,9.40863521561067E-5,1.3348731675953752E-4,2021-01-01,2020.0,Yingkou,2020-01-01,1683.8567931942857,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_3,1.0223130195945247E-4,1.5173042406726496E-4,2022-01-01,2020,Yingkou,2021-01-01,1683.8567931942857,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_4,8.312208877452478E-5,1.237701615889637E-4,2023-01-01,2020,Yingkou,2022-01-01,1683.8567931942857,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_5,8.705927638777094E-5,1.2293951131994827E-4,2024-01-01,2020,Yingkou,2023-01-01,1683.8567931942857,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_6,8.278220134138995E-5,1.1887352048514843E-4,2025-01-01,2020,Yingkou,2024-01-01,1683.8567931942857,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_7,8.614822248735775E-5,1.174843130746056E-4,2026-01-01,2020,Yingkou,2025-01-01,1683.8567931942857,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,2.212881881547419E-5,2.872360284892936E-5,2019-01-01,2018.0,Alleppey,2018-12-05,2378.4931949912334,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_1,1.9366621669385712E-5,2.4236111785385632E-5,2020-01-01,2019.0,Alleppey,2019-01-01,2384.6901557020105,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_2,1.7452109954735338E-5,2.090068265226148E-5,2021-01-01,2020.0,Alleppey,2020-01-01,2390.1941609781147,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_3,1.7454847966234647E-5,2.2074286956281835E-5,2022-01-01,2020,Alleppey,2021-01-01,2390.1941609781147,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_4,1.8412197165712365E-5,2.328155238052872E-5,2023-01-01,2020,Alleppey,2022-01-01,2390.1941609781147,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_5,1.889884041257504E-5,2.4529660888333736E-5,2024-01-01,2020,Alleppey,2023-01-01,2390.1941609781147,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_6,1.8649303530636684E-5,2.3224499148841803E-5,2025-01-01,2020,Alleppey,2024-01-01,2390.1941609781147,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_7,1.792366739755835E-5,2.2280124404517744E-5,2026-01-01,2020,Alleppey,2025-01-01,2390.1941609781147,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
