system:index,SO2_area_mean_mol_per_m2,SO2_population_weighted_exposure_mol_per_m2,end_date,population_year_used,port_name,start_date,total_population,year,.geo
00000000000000000009_2,4.397497388888536E-4,4.3650225125494574E-4,2021-01-01,2020.0,Qinhuangdao,2020-01-01,1116.502733047394,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_3,4.675143101919212E-4,4.596764678914342E-4,2022-01-01,2020,Qinhuangdao,2021-01-01,1116.502733047394,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_4,4.2080528445404827E-4,4.0553110580836065E-4,2023-01-01,2020,Qinhuangdao,2022-01-01,1116.502733047394,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_5,4.248141602257886E-4,4.17034437858453E-4,2024-01-01,2020,Qinhuangdao,2023-01-01,1116.502733047394,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_6,5.308816841179287E-4,5.346452910354915E-4,2025-01-01,2020,Qinhuangdao,2024-01-01,1116.502733047394,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_7,1.743239237582259E-4,1.9070313332723694E-4,2026-01-01,2020,Qinhuangdao,2025-01-01,1116.502733047394,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,,0.0,2019-01-01,2018.0,Yingkou,2018-12-05,1669.123248185597,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_1,3.482178229545426E-4,3.5380143900923196E-4,2020-01-01,2019.0,Yingkou,2019-01-01,1675.6502954240145,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_2,4.0501217355569825E-4,4.14880559370253E-4,2021-01-01,2020.0,Yingkou,2020-01-01,1683.8567931942857,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_3,4.166060115786854E-4,4.1407245609644325E-4,2022-01-01,2020,Yingkou,2021-01-01,1683.8567931942857,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_4,3.97724592295181E-4,3.8867489475627177E-4,2023-01-01,2020,Yingkou,2022-01-01,1683.8567931942857,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_5,3.965827222629979E-4,4.182039092171393E-4,2024-01-01,2020,Yingkou,2023-01-01,1683.8567931942857,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_6,4.758465653226013E-4,5.028045826248978E-4,2025-01-01,2020,Yingkou,2024-01-01,1683.8567931942857,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_7,1.5100744624121966E-4,1.5308951848975812E-4,2026-01-01,2020,Yingkou,2025-01-01,1683.8567931942857,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,4.1405566596297374E-5,5.98031000801507E-5,2019-01-01,2018.0,Alleppey,2018-12-05,2378.4931949912334,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_1,8.355503942994053E-6,3.735685010020354E-6,2020-01-01,2019.0,Alleppey,2019-01-01,2384.6901557020105,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_2,1.0927699697543427E-6,2.7522349689749907E-6,2021-01-01,2020.0,Alleppey,2020-01-01,2390.1941609781147,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_3,7.400936315733084E-6,7.365950970681352E-6,2022-01-01,2020,Alleppey,2021-01-01,2390.1941609781147,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_4,1.6833948050128307E-5,1.182749309314239E-5,2023-01-01,2020,Alleppey,2022-01-01,2390.1941609781147,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_5,2.581392543467283E-5,2.477548851490233E-5,2024-01-01,2020,Alleppey,2023-01-01,2390.1941609781147,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_6,1.879278846204924E-5,1.7383251883652637E-5,2025-01-01,2020,Alleppey,2024-01-01,2390.1941609781147,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_7,6.839243625208785E-6,1.2540535355965956E-5,2026-01-01,2020,Alleppey,2025-01-01,2390.1941609781147,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,1.7711866332866868E-5,9.342166739178792E-5,2019-01-01,2018.0,Keelung,2018-12-05,1937.0060684148734,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_1,1.0344445894332202E-5,-4.100482080033612E-6,2020-01-01,2019.0,Keelung,2019-01-01,1949.846984358084,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_2,1.422481283609242E-5,-5.672429231911773E-6,2021-01-01,2020.0,Keelung,2020-01-01,1970.8686360267882,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
